target,horizon_weeks,model,n,mae,rmse,smape,directional_accuracy
anp_ethanol_mt_net_l,4,A_target_seasonality,20,0.16806947479496054,0.19785015153530905,0.04797911379529244,0.7368421052631579
anp_ethanol_mt_net_l,4,B_plus_gasoline,20,0.1643549552712613,0.19979425744153959,0.04673820572780581,0.6842105263157895
anp_ethanol_mt_net_l,4,C_plus_brent,20,0.10836472906046797,0.12994305539154477,0.031255432864890034,0.6842105263157895
anp_ethanol_mt_net_l,4,D_plus_usd_brl,20,0.11117894719787051,0.13126278490032844,0.03162610414839448,0.7368421052631579
anp_ethanol_mt_net_l,12,A_target_seasonality,21,0.26909914244159444,0.29919431436517324,0.07608074187684644,0.6
anp_ethanol_mt_net_l,12,B_plus_gasoline,21,0.24997737561742453,0.29503102470543874,0.07022285502339713,0.6
anp_ethanol_mt_net_l,12,C_plus_brent,21,0.19730074413458548,0.2340571885341793,0.05561842279878325,0.6
anp_ethanol_mt_net_l,12,D_plus_usd_brl,21,0.20529393951760586,0.2375843215476926,0.0574252246159064,0.65
anp_ethanol_mt_net_l,26,A_target_seasonality,18,0.2840085556337615,0.32830356299265867,0.07989459235954637,0.4117647058823529
anp_ethanol_mt_net_l,26,B_plus_gasoline,18,0.2790906512950383,0.32208514964172513,0.07793453256453574,0.29411764705882354
anp_ethanol_mt_net_l,26,C_plus_brent,18,0.2628206422469406,0.3028753231361646,0.07342543834276859,0.4117647058823529
anp_ethanol_mt_net_l,26,D_plus_usd_brl,18,0.2674058628063651,0.3109796386012159,0.0745597691156771,0.5294117647058824
anp_ethanol_mt_net_l,52,A_target_seasonality,12,0.3100283768531789,0.3279097546856712,0.08787835047569385,0.9090909090909091
anp_ethanol_mt_net_l,52,B_plus_gasoline,12,0.2333367032660564,0.248281637760063,0.06563016151525458,1.0
anp_ethanol_mt_net_l,52,C_plus_brent,12,0.22574209941134452,0.24420902008020953,0.0630570188668559,1.0
anp_ethanol_mt_net_l,52,D_plus_usd_brl,12,0.2244947668746082,0.24191267305266018,0.06268159018852,0.8181818181818182
