target,scenario,month,forecast
anp_ethanol_mt_net_l,base,2026-09,3.2520952956861247
anp_ethanol_mt_net_l,base,2026-10,3.288198069565324
anp_ethanol_mt_net_l,base,2026-11,3.3374210526196704
anp_ethanol_mt_net_l,base,2026-12,3.3300458283784677
anp_ethanol_mt_net_l,base,2027-01,3.327221668782104
anp_ethanol_mt_net_l,base,2027-02,3.3329739413465758
anp_ethanol_mt_net_l,base,2027-03,3.3310969527883003
anp_ethanol_mt_net_l,base,2027-04,3.369474560285642
anp_ethanol_mt_net_l,base,2027-05,3.346236479835796
anp_ethanol_mt_net_l,base,2027-06,3.257149688929651
anp_ethanol_mt_net_l,base,2027-07,3.1366305472925893
anp_ethanol_mt_net_l,base,2027-08,3.0320016092013278
anp_ethanol_mt_net_l,base,2027-09,2.994026932724111
anp_ethanol_mt_net_l,downside_macro,2026-09,3.20326668315102
anp_ethanol_mt_net_l,downside_macro,2026-10,3.1731115409755613
anp_ethanol_mt_net_l,downside_macro,2026-11,3.2578087924827694
anp_ethanol_mt_net_l,downside_macro,2026-12,3.2866503093872694
anp_ethanol_mt_net_l,downside_macro,2027-01,3.3218545498595917
anp_ethanol_mt_net_l,downside_macro,2027-02,3.3601923642322586
anp_ethanol_mt_net_l,downside_macro,2027-03,3.382626146894784
anp_ethanol_mt_net_l,downside_macro,2027-04,3.4438194117645153
anp_ethanol_mt_net_l,downside_macro,2027-05,3.43974093965937
anp_ethanol_mt_net_l,downside_macro,2027-06,3.3650364716228083
anp_ethanol_mt_net_l,downside_macro,2027-07,3.2583395335623124
anp_ethanol_mt_net_l,downside_macro,2027-08,3.1654747601441553
anp_ethanol_mt_net_l,downside_macro,2027-09,3.1332788081799543
anp_ethanol_mt_net_l,upside_macro,2026-09,3.2999325127358077
anp_ethanol_mt_net_l,upside_macro,2026-10,3.3984509848334143
anp_ethanol_mt_net_l,upside_macro,2026-11,3.4075058187224583
anp_ethanol_mt_net_l,upside_macro,2026-12,3.3593993251911973
anp_ethanol_mt_net_l,upside_macro,2027-01,3.3136048177037787
anp_ethanol_mt_net_l,upside_macro,2027-02,3.282224966710051
anp_ethanol_mt_net_l,upside_macro,2027-03,3.252495864914799
anp_ethanol_mt_net_l,upside_macro,2027-04,3.2646739934440077
anp_ethanol_mt_net_l,upside_macro,2027-05,3.2194147458148197
anp_ethanol_mt_net_l,upside_macro,2027-06,3.1138013534599494
anp_ethanol_mt_net_l,upside_macro,2027-07,2.9773953042320453
anp_ethanol_mt_net_l,upside_macro,2027-08,2.8592616970795
anp_ethanol_mt_net_l,upside_macro,2027-09,2.814658328176238
